CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
341,3300,230,357,259,803,3172,1719
340,3300,229,355,259,807,3173,1718
343,3300,230,359,259,805,3169,1719
343,3300,226,358,259,807,3170,1720
343,3300,230,360,259,808,3168,1719
346,3300,231,362,259,809,3169,1718
347,3300,232,359,259,810,3166,1719
348,3300,233,363,259,813,3165,1718
347,3300,235,368,259,815,3162,1718
347,3300,234,369,259,816,3160,1718
347,3300,232,367,259,819,3156,1719
344,3300,228,367,259,822,3152,1720
343,3300,230,369,259,823,3152,1720
351,3300,234,372,259,827,3147,1718
351,3300,235,372,259,827,3144,1719
347,3300,233,374,259,829,3143,1719
353,3300,234,374,259,830,3142,1718
347,3300,230,374,259,831,3140,1719
349,3300,233,373,259,831,3140,1719
350,3300,232,367,259,831,3140,1718
350,3300,233,373,259,829,3140,1719
352,3300,233,373,259,830,3139,1718
351,3300,228,377,259,829,3137,1719
348,3300,230,373,259,828,3139,1720
348,3300,228,367,259,828,3138,1718
349,3300,229,374,259,828,3138,1719
350,3300,227,375,259,828,3140,1717
347,3300,226,374,259,828,3137,1720
355,3300,229,376,259,825,3140,1718
351,3300,230,379,259,826,3141,1718
351,3300,230,378,259,827,3141,1719
352,3300,225,379,259,827,3140,1718
352,3300,228,380,260,828,3141,1719
350,3300,228,378,259,827,3140,1720
351,3300,230,379,259,826,3142,1719
352,3300,229,380,259,825,3141,1717
355,3300,229,384,258,826,3142,1719
354,3300,230,380,258,826,3142,1718
358,3300,230,384,259,826,3142,1719
356,3300,230,382,259,827,3142,1719
354,3300,228,383,259,825,3141,1719
354,3300,229,383,258,827,3143,1719
355,3300,226,383,258,825,3142,1719
356,3300,227,382,258,827,3144,1719
353,3300,225,385,260,827,3141,1719
355,3300,227,388,259,825,3142,1717
355,3300,229,388,259,828,3144,1719
355,3300,230,386,259,827,3144,1719
357,3300,229,384,259,828,3144,1719
